estrutura,cenario,tamanho_base,repeticao,quantidade_operacoes,operacoes_sucesso,tempo_total_segundos,tempo_medio_segundos,memoria_pico_bytes,quantidade_elementos,numero_comparacoes,numero_colisoes,fator_carga,maior_lista,numero_rotacoes,altura_arvore
hash,insercao,100,1,100,100,0.0005374000174924731,5.374000174924731e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,1,100,100,0.00022380007430911064,2.2380007430911063e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,1,100,0,0.00019869999960064888,1.986999996006489e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,1,10,10,4.549999721348286e-05,4.549999721348285e-06,216,90,11,0,0.44776119402985076,4,,
hash,vendas,100,1,100,98,0.00022010004613548517,2.201000461354852e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,1,100,100,0.0002601000014692545,2.6010000146925447e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,1,100,100,0.00016649998724460602,1.6649998724460602e-06,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,1,100,100,0.0016727999318391085,1.6727999318391086e-05,13416,100,1074,,,,66,8
avl,busca_existente,100,1,100,100,0.000313800061121583,3.13800061121583e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,1,100,0,0.00029889994766563177,2.988999476656318e-06,112,100,618,,,,0,8
avl,remocao,100,1,10,10,7.509998977184296e-05,7.509998977184296e-06,96,90,65,,,,11,8
avl,vendas,100,1,100,98,0.00025759998243302107,2.5759998243302105e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,1,100,100,0.0002671999391168356,2.671999391168356e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,1,100,100,2.1400046534836292e-05,2.1400046534836292e-07,864,100,0,,,,0,8
hash,insercao,100,2,100,100,0.0003377000102773309,3.3770001027733087e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,2,100,100,0.0001998000079765916,1.9980000797659157e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,2,100,0,0.0001775999553501606,1.775999553501606e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,2,10,10,3.160000778734684e-05,3.160000778734684e-06,200,90,11,0,0.44776119402985076,4,,
